,Unnamed: 0,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn,Ratio Transfers
113,113,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,6090.81919033,11133470.0,Y,10002.0,5065.0,4937.0,0.0,18.0,18.0,1.03
179,179,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,221468.4667219,3575544.0,Y,10000.0,4404.0,5596.0,0.0,0.0,0.0,0.79
29,29,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,1.15754875,545203.0,Y,10000.0,19.0,9981.0,0.0,0.0,0.0,0.0
70,70,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,95263.26323519,1.0,Y,6.0,6.0,0.0,0.0,0.0,0.0,1000.0
45,45,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,37913.56193792,5.0,Y,242.0,241.0,1.0,0.0,0.0,0.0,241.0
327,327,0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,11.89479821,1820.0,Y,930.0,580.0,350.0,0.0,0.0,0.0,1.66
82,82,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,0.14412363,4676.0,Y,351.0,157.0,194.0,0.0,0.0,0.0,0.81
257,257,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,1.59026256,222.0,Y,531.0,514.0,17.0,0.0,0.0,0.0,30.24
276,276,0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,Kuna.io 2,443.95872427,56004.0,Y,10000.0,3193.0,6807.0,0.0,0.0,0.0,0.47
300,300,0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKEx 7,318.63984502,985663.0,Y,10000.0,5833.0,4167.0,0.0,0.0,0.0,1.4
294,294,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,425.92572204,2768260.0,Y,10000.0,9435.0,565.0,0.0,71.0,71.0,16.7
122,122,0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,0.00084255,494.0,Y,161.0,77.0,84.0,0.0,0.0,0.0,0.92
331,331,0xd344539efe31f8b6de983a0cab4fb721fc69c547,QuantaEx 1,0.1,1.0,Y,65.0,65.0,0.0,0.0,0.0,0.0,1000.0
317,317,0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,12.45106279,30204.0,Y,10000.0,4925.0,5075.0,0.0,0.0,0.0,0.97
156,156,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,2.47415066,221145.0,Y,10000.0,5710.0,4290.0,0.0,0.0,0.0,1.33
364,364,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Yunbi 1,0.05966707,440618.0,Y,10000.0,1353.0,8647.0,0.0,2.0,2.0,0.16
23,23,0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy 1,0.02510312,197321.0,Y,10000.0,5175.0,4825.0,0.0,0.0,0.0,1.07
114,114,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,0.0,1653559.0,Y,157.0,155.0,2.0,0.0,0.0,0.0,77.5
359,359,0xb436c96c6de1f50a160ed307317c275424dbe4f2,Vinex,0.00057303,3651.0,Y,1902.0,445.0,1457.0,0.0,0.0,0.0,0.31
352,352,0x0068eb681ec52dbd9944517d785727310b494575,Tokocrypto,0.0,531.0,Y,674.0,362.0,312.0,0.0,1.0,1.0,1.16
183,183,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,27.33005905,38046.0,Y,10000.0,10000.0,0.0,0.0,3.0,3.0,1000.0
165,165,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,23.96968225,1118.0,Y,178.0,109.0,69.0,0.0,1.0,1.0,1.58
250,250,0x352bdabe484499e4c25c3536cc3eda1edbc5ad29,KickEX,16.9433123,18281.0,Y,10001.0,4154.0,5847.0,0.0,0.0,0.0,0.71
28,28,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,0.1038359,551798.0,Y,10000.0,20.0,9980.0,0.0,1.0,1.0,0.0
316,316,0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Poloniex: BNT,16.71670255,1959.0,Y,1030.0,603.0,427.0,0.0,0.0,0.0,1.41
90,90,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,0.02023213,207792.0,Y,207.0,201.0,6.0,0.0,0.0,0.0,33.5
191,191,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini 6,0.0,98.0,Y,528.0,470.0,58.0,0.0,0.0,0.0,8.1
38,38,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance 21,0.00930047,32.0,Y,142.0,139.0,3.0,0.0,0.0,0.0,46.33
79,79,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,75026.12978599,8.0,Y,35.0,35.0,0.0,0.0,0.0,0.0,1000.0
86,86,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,0.0,133163.0,Y,44.0,44.0,0.0,0.0,1.0,1.0,1000.0
216,216,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,0.13569696,46.0,Y,256.0,256.0,0.0,0.0,0.0,0.0,1000.0
233,233,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,301.72878616,439372.0,Y,213.0,213.0,0.0,0.0,1.0,1.0,1000.0
84,84,0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,41174.63545229,4129.0,Y,1210.0,931.0,279.0,0.0,0.0,0.0,3.34
35,35,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,196.63174845,1086268.0,Y,136.0,136.0,0.0,0.0,0.0,0.0,1000.0
199,199,0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com 2,0.00542613,12505.0,Y,10000.0,6736.0,3264.0,0.0,0.0,0.0,2.06
216,216,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,0.13569696,46.0,Y,256.0,256.0,0.0,0.0,0.0,0.0,1000.0
227,227,0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi 28,221.63931387,79800.0,Y,10000.0,5036.0,4964.0,0.0,0.0,0.0,1.01
350,350,0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,990.06389267,125773.0,Y,243.0,239.0,4.0,0.0,0.0,0.0,59.75
347,347,0xa96b536eef496e21f5432fd258b6f78cf3673f74,Switchain,0.03826829,56612.0,Y,10000.0,3515.0,6485.0,0.0,0.0,0.0,0.54
171,171,0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,0.0,215295.0,Y,254.0,251.0,3.0,0.0,0.0,0.0,83.67
31,31,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,24816.36964013,3172001.0,Y,10000.0,265.0,9735.0,0.0,53.0,53.0,0.03
222,222,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,Huobi 23,54.06083172,491279.0,Y,200.0,200.0,0.0,0.0,0.0,0.0,1000.0
301,301,0x03e3ff995863828554282e80870b489cc31dc8bc,OMGFIN Exchange,5.74898707,3056.0,Y,2115.0,1218.0,897.0,0.0,1.0,1.0,1.36
241,241,0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,371.41537929,380200.0,Y,10000.0,3842.0,6158.0,0.0,0.0,0.0,0.62
310,310,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,1501.3161185,158868.0,Y,10000.0,5612.0,4388.0,0.0,0.0,0.0,1.28
176,176,0x14301566b9669b672878d86ff0b1d18dd58054e9,Flata.Exchange,12.58448413,24395.0,Y,10000.0,5631.0,4369.0,0.0,1.0,1.0,1.29
268,268,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,KuCoin 3,67.54234816,2731324.0,Y,10000.0,2088.0,7912.0,317.0,1677.0,1994.0,0.26
323,323,0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,5.12541973,1893.0,Y,1386.0,850.0,536.0,0.0,0.0,0.0,1.59
22,22,0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI.com,17.71586368,253207.0,Y,10000.0,5792.0,4208.0,0.0,0.0,0.0,1.38
233,233,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,301.72878616,439372.0,Y,213.0,213.0,0.0,0.0,1.0,1.0,1000.0
295,295,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKEx 2,0.78825628,868651.0,Y,10000.0,7588.0,2412.0,0.0,0.0,0.0,3.15
269,269,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,KuCoin 4,62.49441092,1707515.0,Y,630.0,619.0,11.0,0.0,1.0,1.0,56.27
67,67,0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive 2,0.01823186,284.0,Y,192.0,116.0,76.0,0.0,4.0,4.0,1.53
116,116,0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,0.0,15571.0,Y,10000.0,9108.0,892.0,0.0,0.0,0.0,10.21
292,292,0xac338d9faac562df26d702880c796e1024e2698a,MinedTrade.com,0.08228726,2836.0,Y,1557.0,871.0,686.0,0.0,0.0,0.0,1.27
123,123,0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,0.00073491,426.0,Y,7.0,7.0,0.0,0.0,0.0,0.0,1000.0
119,119,0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,570.80573745,318065.0,Y,10000.0,4898.0,5102.0,0.0,0.0,0.0,0.96
69,69,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,177328.30765968,26.0,Y,13.0,13.0,0.0,0.0,0.0,0.0,1000.0
62,62,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee,0.35985826,1332.0,Y,1430.0,791.0,639.0,3.0,9.0,12.0,1.24
254,254,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken 12,231.26675251,74982.0,Y,10000.0,4541.0,5459.0,0.0,0.0,0.0,0.83
59,59,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,0.09691021,33.0,Y,430.0,428.0,2.0,0.0,0.0,0.0,214.0
326,326,0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,Poloniex: REP,0.0116446,94609.0,Y,10000.0,5723.0,4277.0,0.0,0.0,0.0,1.34
173,173,0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,0.90623477,77551.0,Y,10000.0,4450.0,5550.0,0.0,0.0,0.0,0.8
175,175,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,183.5117623,153469.0,Y,10005.0,5049.0,4956.0,0.0,0.0,0.0,1.02
80,80,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,215368.75591044,28.0,Y,18.0,18.0,0.0,0.0,0.0,0.0,1000.0
17,17,0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo 2,0.0081074,7736.0,Y,99.0,73.0,26.0,0.0,0.0,0.0,2.81
355,355,0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,0.01233134,21741.0,Y,10000.0,4765.0,5235.0,0.0,0.0,0.0,0.91
229,229,0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,295.77653381,1782018.0,Y,10000.0,4032.0,5968.0,0.0,0.0,0.0,0.68
49,49,0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance 32,6.66664407,8818.0,Y,10000.0,5332.0,4668.0,1.0,4.0,5.0,1.14
148,148,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,64.33474419,60030.0,Y,10000.0,4725.0,5275.0,0.0,0.0,0.0,0.9
262,262,0x29728d0efd284d85187362faa2d4d76c2cfc2612,Kraken 9,258.82151318,36385.0,Y,10000.0,5233.0,4767.0,0.0,0.0,0.0,1.1
20,20,0xed5cdb0d02152046e6f234ad578613831b9184d4,Bidesk 3,0.00374962,47129.0,Y,10000.0,2851.0,7149.0,0.0,0.0,0.0,0.4
23,23,0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy 1,0.02510312,197321.0,Y,10000.0,5175.0,4825.0,0.0,0.0,0.0,1.07
367,367,0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,ZB.com,0.96242144,1479815.0,Y,54.0,52.0,2.0,0.0,0.0,0.0,26.0
226,226,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,147.07601369,398228.0,Y,200.0,200.0,0.0,0.0,1.0,1.0,1000.0
275,275,0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,0.09278667,248911.0,Y,146.0,86.0,13.0,0.0,0.0,0.0,6.62
350,350,0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,990.06389267,125773.0,Y,243.0,239.0,4.0,0.0,0.0,0.0,59.75
44,44,0xd5fd1bc99d5801278345e9d29be2225d06c26e93,Binance 27,0.03378002,160.0,Y,429.0,331.0,98.0,0.0,0.0,0.0,3.38
90,90,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,0.02023213,207792.0,Y,207.0,201.0,6.0,0.0,0.0,0.0,33.5
32,32,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,22669.15780935,2997300.0,Y,10000.0,324.0,9676.0,0.0,15.0,15.0,0.03
359,359,0xb436c96c6de1f50a160ed307317c275424dbe4f2,Vinex,0.00057303,3651.0,Y,1902.0,445.0,1457.0,0.0,0.0,0.0,0.31
357,357,0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit 2,0.29321981,985744.0,Y,10000.0,5604.0,4396.0,0.0,0.0,0.0,1.27
