,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn
0,0x4dc98c79a52968a6c20ce9a7a08d5e8d1c2d5605,,0.00477614 Ether,,Y,,,,,,
1,0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,,5.25604866 Ether,,Y,,,,,,
2,0x1ccbdff6336b1027995a27a77b41fa87eb6608a3,,0.06097497 Ether,,Y,,,,,,
3,0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,0 Ether,,Y,,,,,,
4,0x2ddd202174a72514ed522e77972b461b03155525,Alcumex Exchange,0 Ether,,Y,,,,,,
5,0xaecbe94703df39b49ac440feb177c7f1f782c064,APROBIT,0.00582716 Ether,,Y,,,,,,
6,0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,Artis Turba Exchange 1,0.00188909 Ether,,Y,,,,,,
7,0x94597850916a49b3b152ee374e97260b99249f5b,Artis Turba Exchange 2,0.52252374 Ether,,Y,,,,,,
8,0x82a403c14483931b2ff6e4440c8373ccfee698b8,ArzPaya.com,18.5793372 Ether,,Y,,,,,,
9,0x03bdf69b1322d623836afbd27679a1c0afa067e9,AscendEX 1,0.84458908 Ether,,Y,,,,,,
10,0x4b1a99467a284cc690e3237bc69105956816f762,AscendEX 2,"3,122.80773217 Ether",,Y,,,,,,
11,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,AscendEX 3,0 Ether,,Y,,,,,,
12,0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,9.6844017 Ether,,Y,,,,,,
13,0x92dbd8e0a46edd62aa42d1f7902d0e496bddc15a,Azbit,0.01356146 Ether,,Y,,,,,,
14,0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,0 Ether,,Y,,,,,,
15,0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,Beldex,0.41845816 Ether,,Y,,,,,,
16,0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo 1,0.04048271 Ether,,Y,,,,,,
17,0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo 2,0.0081074 Ether,,Y,,,,,,
18,0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,57.97151043 Ether,,Y,,,,,,
19,0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,Bidesk 2,0.00624614 Ether,,Y,,,,,,
20,0xed5cdb0d02152046e6f234ad578613831b9184d4,Bidesk 3,0.00374962 Ether,,Y,,,,,,
21,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,761.2941501 Ether,,Y,,,,,,
22,0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI.com,17.71586368 Ether,,Y,,,,,,
23,0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy 1,0.02510312 Ether,,Y,,,,,,
24,0xcce8d59affdd93be338fc77fa0a298c2cb65da59,Bilaxy 2,0.09390058 Ether,,Y,,,,,,
25,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,2.37215561 Ether,,Y,,,,,,
26,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance 10,0.32660755 Ether,,Y,,,,,,
27,0x708396f17127c42383e3b9014072679b2f60b82f,Binance 11,12.02575677 Ether,,Y,,,,,,
28,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,0.1038359 Ether,,Y,,,,,,
29,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,1.15754875 Ether,,Y,,,,,,
30,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,"203,987.43173825 Ether",,Y,,,,,,
31,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,"24,816.36964013 Ether",,Y,,,,,,
32,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,"22,669.15780935 Ether",,Y,,,,,,
33,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,"24,413.43872544 Ether",,Y,,,,,,
34,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,"16,244.21941179 Ether",,Y,,,,,,
35,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,196.63174845 Ether,,Y,,,,,,
36,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,0.43360673 Ether,,Y,,,,,,
37,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,"23,097.00373032 Ether",,Y,,,,,,
38,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance 21,0.00930047 Ether,,Y,,,,,,
